test;failure_id;config;exception;message;stacktrace
org.apache.hadoop.fs.viewfs.TestViewFsOverloadSchemeListStatus#testViewFSOverloadSchemeWithoutAnyMountLinks;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.viewfs.ViewFileSystemOverloadScheme.initialize(ViewFileSystemOverloadScheme.java:161), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469)]
org.apache.hadoop.fs.viewfs.TestViewFsOverloadSchemeListStatus#testListStatusACL;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.viewfs.ViewFileSystemOverloadScheme.initialize(ViewFileSystemOverloadScheme.java:161), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemOverloadSchemeLocalFileSystem#testLocalFsLinkSlashMerge;id_000000;[file.stream-buffer-size=576274247, io.file.buffer.size=1499095007];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFileSystemOverloadSchemeLocalFileSystem#testLocalFsLinkSlashMerge;id_000002;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000000;[file.bytes-per-checksum=738606917];java.lang.NegativeArraySizeException;-1942472339;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000001;[file.bytes-per-checksum=1480878323, io.file.buffer.size=1274251224];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000002;[file.bytes-per-checksum=2097364921];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000003;[file.bytes-per-checksum=2146302804];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000005;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.TestTrash#testExistingFileTrash;id_000006;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.TestTrash#testExpungeWithFileSystem;id_000000;[file.stream-buffer-size=781002202, io.file.buffer.size=1494291429];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.TestTrash#testExpungeWithFileSystem;id_000002;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.TestTrash#testExpungeWithFileSystem;id_000003;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.TestTrash#testTrash;id_000000;[file.bytes-per-checksum=1843284096];java.lang.NegativeArraySizeException;-590312320;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.TestTrash#testTrash;id_000001;[file.bytes-per-checksum=689205179];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.TestTrash#testTrash;id_000002;[file.bytes-per-checksum=1487310987];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.TestTrash#testTrash;id_000003;[file.bytes-per-checksum=680956527];java.lang.OutOfMemoryError;Java heap space;[]
org.apache.hadoop.fs.TestTrash#testTrash;id_000005;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.TestTrash#testTrash;id_000006;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeCentralMountTableConfig#testLocalFsCreateAndDelete;id_000000;[file.stream-buffer-size=2065329502, io.file.buffer.size=1699306219];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeCentralMountTableConfig#testLocalFsCreateAndDelete;id_000002;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeCentralMountTableConfig#testLocalFsLinkSlashMerge;id_000000;[file.stream-buffer-size=2069528577, io.file.buffer.size=202143064];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:437)]
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeCentralMountTableConfig#testLocalFsLinkSlashMerge;id_000002;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.io.TestArrayFile#testEmptyFile;id_000000;[io.file.buffer.size=506601292];java.lang.NegativeArraySizeException;-99968201;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.io.TestArrayFile#testEmptyFile;id_000002;[io.file.buffer.size=1427436756];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.viewfs.TestViewfsFileStatus#testFileStatusSerialziation;id_000000;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.get(FileSystem.java:537)]
org.apache.hadoop.fs.viewfs.TestViewfsFileStatus#testFileStatusSerialziation;id_000001;[fs.viewfs.mounttable.default.name.key=default];java.io.IOException;ViewFs: Cannot initialize: Invalid entry in Mount table in config: name.key;[org.apache.hadoop.fs.viewfs.InodeTree.<init>(InodeTree.java:587), org.apache.hadoop.fs.viewfs.ViewFileSystem$1.<init>(ViewFileSystem.java:321), org.apache.hadoop.fs.viewfs.ViewFileSystem.initialize(ViewFileSystem.java:320), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3469), org.apache.hadoop.fs.FileSystem.access$300(FileSystem.java:174)]
org.apache.hadoop.io.TestSetFile#testSetFileAccessMethods;id_000000;[io.file.buffer.size=1661480239];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.io.compress.CompressorStream.<init>(CompressorStream.java:46), org.apache.hadoop.io.compress.DefaultCodec.createOutputStream(DefaultCodec.java:66), org.apache.hadoop.io.SequenceFile$Writer.init(SequenceFile.java:1307), org.apache.hadoop.io.SequenceFile$Writer.<init>(SequenceFile.java:1194), org.apache.hadoop.io.SequenceFile$RecordCompressWriter.<init>(SequenceFile.java:1499)]
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreateUnderFileSubdir;id_000000;[file.bytes-per-checksum=404167900];java.lang.NegativeArraySizeException;-657456196;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreateUnderFileSubdir;id_000002;[io.file.buffer.size=0];java.lang.IllegalArgumentException;Buffer size <= 0;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:73), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreateUnderFileSubdir;id_000003;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreateUnderFileSubdir;id_000004;[file.bytes-per-checksum=2022779952];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractDelete#testDeleteDeepEmptyDir;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractOpen#testOpenFileExceptionallyTranslating;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.TestPath#testURI;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractDelete#testDeleteEmptyDirNonRecursive;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalStateException;bytes per checksum should be positive but was 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkState(Preconditions.java:562), org.apache.hadoop.fs.ChecksumFileSystem.setConf(ChecksumFileSystem.java:80), org.apache.hadoop.util.ReflectionUtils.setConf(ReflectionUtils.java:79), org.apache.hadoop.util.ReflectionUtils.newInstance(ReflectionUtils.java:139), org.apache.hadoop.fs.FileSystem.createFileSystem(FileSystem.java:3467)]
